Question Number,Question,Choice A,Choice B,Choice C,Choice D,Choice E
83,"An actuary determines that the annual number of tornadoes in counties P and Q are 
jointly distributed as follows: 
 
Annual number of 
tornadoes in county Q 
 
 
0 
1 
2 
3 
Annual number 
0 
0.12 
0.06 
0.05 
0.02 
of tornadoes  
1 
0.13 
0.15 
0.12 
0.03 
in county P 
2 
0.05 
0.15 
0.10 
0.02 
 
Calculate the conditional variance of the annual number of tornadoes in county Q, given 
that there are no tornadoes in county P.",0.51,0.84,0.88,0.99,1.76
84,"You are given the following information about N, the annual number of claims for a 
randomly selected insured: 
1
1
1
(
0)
,
(
1)
,
(
1)
2
3
6
P N
P N
P N
=
=
=
=
>
=
. 
 
 
Let S denote the total annual claim amount for an insured.  When N = 1, S is 
exponentially distributed with mean 5.  When N > 1, S is exponentially distributed with 
mean 8. 
 
Page 38 of 257 
 
Calculate P(4 < S < 8).",0.04,0.08,0.12,0.24,0.25
85,"Under an insurance policy, a maximum of five claims may be filed per year by a 
policyholder.  Let 
( )
p n be the probability that a policyholder files n claims during a 
given year, where n = 0,1,2,3,4,5.  An actuary makes the following observations: 
 
 
 
i) 
( )
(
1)  for  
0, 1, 2, 3, 4
p n
p n
n
≥
+
=
. 
ii) 
The difference between 
( )
p n  and 
(
1)
p n +
is the same for n = 0,1,2,3,4. 
iii) 
Exactly 40% of policyholders file fewer than two claims during a given 
year. 
 
Calculate the probability that a random policyholder will file more than three claims 
during a given year.",0.14,0.16,0.27,0.29,0.33
86,"The amounts of automobile losses reported to an insurance company are mutually 
independent, and each loss is uniformly distributed between 0 and 20,000.  The company 
covers each such loss subject to a deductible of 5,000.  
 
Calculate the probability that the total payout on 200 reported losses is between 
1,000,000 and 1,200,000.",0.0803,0.1051,0.1799,0.8201,0.8575
87,"An insurance agent offers his clients auto insurance, homeowners insurance and renters 
insurance.  The purchase of homeowners insurance and the purchase of renters insurance 
are mutually exclusive.  The profile of the agent’s clients is as follows: 
i)  
17% of the clients have none of these three products. 
ii) 
64% of the clients have auto insurance. 
iii) 
Twice as many of the clients have homeowners insurance as have renters insurance. 
iv) 
35% of the clients have two of these three products. 
v) 
11% of the clients have homeowners insurance, but not auto insurance. 
 
Calculate the percentage of the agent’s clients that have both auto and renters insurance.",7%,10%,16%,25%,28%
88,"The cumulative distribution function for health care costs experienced by a policyholder 
is modeled by the function 
 
100
1
,
0
( )
0,
otherwise.
x
e
x
F x
−
−
>
= 

 
 
The policy has a deductible of 20.  An insurer reimburses the policyholder for 100% of 
health care costs between 20 and 120.  Health care costs above 120 are reimbursed at 
50%. 
 
Let G be the cumulative distribution function of reimbursements given that the 
reimbursement is positive. 
 
Calculate G(115).",0.683,0.727,0.741,0.757,0.777
89,"Let 
1
N  and 
2
N  represent the numbers of claims submitted to a life insurance company 
in April and May, respectively.  The joint probability function of 
1
N  and 
2
N  is 
(
)
1
2
1
1
1
1
1
2
1
2
3 1
1
,
1,2,3,..., 
 1,2,3,...
( ,
)
4 4
0,
otherwise.
n
n
n
n
e
e
n
n
p n n
−
−
−
−


−
=
=


= 


 
 
Calculate the expected number of claims that will be submitted to the company in May, 
given that exactly 2 claims were submitted in April.","(
)
2
3
1
16","2
3
16","3
4
e
e
−","2
1
e","2
e"
90,"A store has 80 modems in its inventory, 30 coming from Source A and the remainder 
from Source B.  Of the modems in inventory from Source A, 20% are defective.  Of the 
modems in inventory from Source B, 8% are defective. 
 
Calculate the probability that exactly two out of a sample of five modems selected 
without replacement from the store’s inventory are defective.",0.010,0.078,0.102,0.105,0.125
91,"A man purchases a life insurance policy on his 40th birthday.  The policy will pay 5000 if 
he dies before his 50th birthday and will pay 0 otherwise.  The length of lifetime, in years 
from birth, of a male born the same year as the insured has the cumulative distribution 
function 
 
0,
0
( )
1 1.1
1 exp
,
0.
1000
t
t
F t
t
≤


=


−
−
>






 
Calculate the expected payment under this policy.",333,348,421,549,574
92,"A mattress store sells only king, queen and twin-size mattresses.  Sales records at the 
store indicate that the number of queen-size mattresses sold is one-fourth the number of 
king and twin-size mattresses combined. Records also indicate that three times as many 
king-size mattresses are sold as twin-size mattresses.   
 
Calculate the probability that the next mattress sold is either king or queen-size.",0.12,0.15,0.80,0.85,0.95
93,"The number of workplace injuries, N, occurring in a factory on any given day is Poisson 
distributed with mean λ.  The parameter λ is a random variable that is determined by the 
level of activity in the factory, and is uniformly distributed on the interval [0, 3].   
 
Calculate Var(N).",λ,2,0.75,1.50,2.25
94,"A fair die is rolled repeatedly.  Let X be the number of rolls needed to obtain a 5 and Y 
the number of rolls needed to obtain a 6. 
 
Calculate E(X | Y = 2).",5.0,5.2,6.0,6.6,6.8
95,"A driver and a passenger are in a car accident.  Each of them independently has 
probability 0.3 of being hospitalized.  When a hospitalization occurs, the loss is 
uniformly distributed on [0, 1].  When two hospitalizations occur, the losses are 
independent. 
 
Calculate the expected number of people in the car who are hospitalized, given that the 
total loss due to hospitalizations from the accident is less than 1.",0.510,0.534,0.600,0.628,0.800
96,"Each time a hurricane arrives, a new home has a 0.4 probability of experiencing damage.  
The occurrences of damage in different hurricanes are mutually independent. 
 
Calculate the mode of the number of hurricanes it takes for the home to experience 
damage from two hurricanes.",2,3,4,5,6
97,"Thirty items are arranged in a 6-by-5 array as shown. 
  
 
A1 
A2 
A3 
A4 
A5 
A6 
A7 
A8 
A9 
A10 
A11 
A12 
A13 
A14 
A15 
A16 
A17 
A18 
A19 
A20 
A21 
A22 
A23 
A24 
A25 
A26 
A27 
A28 
A29 
A30 
 
 
Calculate the number of ways to form a set of three distinct items such that no two of the 
selected items are in the same row or same column.",200,760,1200,4560,7200
98,"An auto insurance company is implementing a new bonus system. In each month, if a 
policyholder does not have an accident, he or she will receive a cash-back bonus of 5 from 
the insurer.  
 
Among the 1,000 policyholders of the auto insurance company, 400 are classified as low-
risk drivers and 600 are classified as high-risk drivers.  
 
In each month, the probability of zero accidents for high-risk drivers is 0.80 and the 
probability of zero accidents for low-risk drivers is 0.90. 
 
Calculate the expected bonus payment from the insurer to the 1000 policyholders in one 
year.","48,000","50,400","51,000","54,000","60,000"
99,"The probability that a member of a certain class of homeowners with liability and 
property coverage will file a liability claim is 0.04, and the probability that a member of 
this class will file a property claim is 0.10.  The probability that a member of this class 
will file a liability claim but not a property claim is 0.01. 
 
Calculate the probability that a randomly selected member of this class of homeowners 
will not file a claim of either type.",0.850,0.860,0.864,0.870,0.890
100,"A survey of 100 TV viewers revealed that over the last year: 
 
i) 
34 watched CBS. 
ii) 
15 watched NBC. 
iii) 
10 watched ABC. 
iv) 
7 watched CBS and NBC. 
v) 
6 watched CBS and ABC. 
vi) 
5 watched NBC and ABC. 
vii) 
4 watched CBS, NBC, and ABC. 
viii) 
18 watched HGTV, and of these, none watched CBS, NBC, or ABC. 
 
Calculate how many of the 100 TV viewers did not watch any of the four channels (CBS, 
NBC, ABC or HGTV).",1,37,45,55,82
101,"The amount of a claim that a car insurance company pays out follows an exponential 
distribution.  By imposing a deductible of d, the insurance company reduces the expected 
claim payment by 10%.  
 
Calculate the percentage reduction on the variance of the claim payment.",1%,5%,10%,20%,25%
102,"The number of hurricanes that will hit a certain house in the next ten years is Poisson 
distributed with mean 4.   
 
Each hurricane results in a loss that is exponentially distributed with mean 1000.  Losses 
are mutually independent and independent of the number of hurricanes. 
 
Calculate the variance of the total loss due to hurricanes hitting this house in the next ten 
years.","4,000,000","4,004,000","8,000,000","16,000,000","20,000,000"
